Question Type,No. of students attended the question,Time Taken ,Number of times MCQ option change,No. of Times compilation,No. of Hints used,Programming Language,Feedback,Correct,Wrong,Partially Correct,Maximum mark,Difficulty
0,500,100,250,0,0,0,1,413,87,0,4,Easy
0,1458,87,875,0,0,0,1,1258,200,0,6,Easy
0,65874,5864,895,0,0,0,0,32985,32889,0,5,Medium
0,85,145,586,0,0,0,1,77,8,0,6,Easy
0,65,8454,45875,0,0,0,0,31,34,0,2,Hard
0,7859,698,563,0,0,0,1,5890,1969,0,5,Medium
0,124589,475,478,0,0,0,1,107859,16730,0,4,Medium
0,6548,325,53,0,0,0,1,5890,658,0,3,Easy
0,7589,4152,9856,0,0,0,0,4859,2730,0,5,Medium
0,1259,96,140,0,0,0,1,1126,133,0,6,Easy
0,3258,231,895,0,0,0,1,2985,273,0,2,Easy
0,4785,99,170,0,0,0,1,4125,660,0,4,Medium
0,78532,147,842,0,0,0,1,75896,2636,0,5,Easy
0,123,5896,541236,0,0,0,0,62,61,0,1,Hard
0,354,1001,8756,0,0,0,0,212,142,0,2,Hard
0,4856,2548,875,0,0,0,0,2589,2267,0,6,Hard
0,7852,6574,4752,0,0,0,0,3569,4283,0,3,Hard
0,954,4589,785,0,0,0,0,421,533,0,5,Hard
0,10023,7854,4521,0,0,0,0,5124,4899,0,4,Hard
0,20001,1489,7852,0,0,0,0,10254,9747,0,1,Hard
0,7589,1567,4589,0,0,0,0,4896,2693,0,2,Medium
0,47596,3245,96584,0,0,0,0,29856,17740,0,6,Medium
0,100000005,49,42,0,0,0,1,85647851,14352154,0,5,Easy
0,587452136,65,980,0,0,0,0,489751257,97700879,0,4,Easy
0,874259,1021,4582,0,0,0,1,56985,817274,0,2,Hard
0,1485,903,6024,0,0,0,1,985,500,0,5,Medium
0,3541,95,140,0,0,0,1,3124,417,0,6,Easy
0,4759,105,586,0,0,0,1,3995,764,0,1,Easy
0,6589,320,789,0,0,0,1,5576,1013,0,3,Medium
0,908756,78,452,0,0,0,1,795649,113107,0,5,Easy
0,9857412,564,875,0,0,0,1,7965489,1891923,0,3,Easy
0,6589,1471,14752,0,0,0,0,4089,2500,0,4,Medium
0,3257,4758,87541,0,0,0,0,1985,1272,0,2,Medium
0,156,45,451,0,0,0,1,136,20,0,5,Easy
0,32748,698,8754,0,0,0,0,25899,6849,0,6,Easy
0,15896,985,8741,0,0,0,0,9985,5911,0,1,Medium
0,47596,124,541,0,0,0,1,44589,3007,0,2,Easy
0,1247859,7865,98745,0,0,0,0,658421,589438,0,5,Hard
0,3547512,845,5412,0,0,0,1,2965417,582095,0,4,Medium
0,8754,475,2141,0,0,0,1,6241,2513,0,6,Medium
0,369874,4123,14587,0,0,0,0,195871,174003,0,2,Medium
0,14752,854,4574,0,0,0,1,8596,6156,0,4,Hard
0,32471,98,541,0,0,0,1,28564,3907,0,3,Easy
0,95874,121,752,0,0,0,1,85214,10660,0,2,Easy
0,4123,985,2145,0,0,0,0,2123,2000,0,4,Hard
0,512,874,1458,0,0,0,1,298,214,0,1,Medium
0,99,471,125,0,0,0,1,52,47,0,5,Hard
0,1475,546,1023,0,0,0,1,856,619,0,6,Medium
0,6541,5874,6871,0,0,0,0,2589,3952,0,3,Hard
1,800,4188,0,0,0,0,1,600,200,0,5,Hard
1,10000,1984,0,0,0,0,0,7500,2500,0,4,Medium
1,300,123,0,0,0,0,0,225,75,0,4,Medium
1,5000,1625,0,0,0,0,1,3750,1250,0,5,Hard
1,789076,3753,0,0,0,0,1,591807,197269,0,4,Medium
1,98765,2248,0,0,0,0,0,74073.75,24691.25,0,4,Medium
1,56789,3121,0,0,0,0,0,42591.75,14197.25,0,6,Hard
1,4321,3292,0,0,0,0,1,3240.75,1080.25,0,5,Hard
1,876544,136,0,0,0,0,1,657408,219136,0,1,Hard
1,76543,934,0,0,0,0,0,57407.25,19135.75,0,2,Hard
1,123456,998,0,0,0,0,0,92592,30864,0,6,Hard
1,987654,2580,0,0,0,0,1,740740.5,246913.5,0,5,Hard
1,34525,3887,0,0,0,0,1,25893.75,8631.25,0,3,Hard
1,246890,4438,0,0,0,0,1,185167.5,61722.5,0,3,Hard
1,600,1412,0,0,0,0,1,450,150,0,6,Hard
1,162534,1609,0,0,0,0,1,121900.5,40633.5,0,2,Hard
1,7865432,1828,0,0,0,0,1,5899074,1966358,0,5,Hard
1,1000000,3481,0,0,0,0,0,750000,250000,0,6,Hard
1,4000000,1035,0,0,0,0,1,3000000,1000000,0,1,Hard
1,987000,822,0,0,0,0,0,740250,246750,0,2,Hard
1,543200,419,0,0,0,0,0,407400,135800,0,1,Hard
1,87965430,3460,0,0,0,0,0,65974072.5,21991357.5,0,4,Medium
1,678543200,2611,0,0,0,0,0,508907400,169635800,0,5,Hard
1,76543,4181,0,0,0,0,1,57407.25,19135.75,0,5,Hard
1,123456,164,0,0,0,0,0,92592,30864,0,3,Hard
1,987654,1958,0,0,0,0,0,740740.5,246913.5,0,3,Hard
1,34525,1349,0,0,0,0,0,25893.75,8631.25,0,3,Hard
1,246890,4751,0,0,0,0,0,185167.5,61722.5,0,4,Medium
1,600,4409,0,0,0,0,1,450,150,0,2,Hard
1,162534,1817,0,0,0,0,0,121900.5,40633.5,0,2,Hard
1,7865432,2744,0,0,0,0,1,5899074,1966358,0,5,Hard
1,800,267,0,0,0,0,0,600,200,0,2,Hard
1,10000,4003,0,0,0,0,1,7500,2500,0,3,Hard
1,300,3995,0,0,0,0,0,225,75,0,6,Hard
1,5000,2230,0,0,0,0,1,3750,1250,0,2,Hard
1,789076,3726,0,0,0,0,0,591807,197269,0,2,Hard
1,98765,1853,0,0,0,0,0,74073.75,24691.25,0,1,Hard
1,56789,3883,0,0,0,0,0,42591.75,14197.25,0,2,Hard
1,4321,2372,0,0,0,0,0,3240.75,1080.25,0,5,Hard
1,876544,3831,0,0,0,0,1,657408,219136,0,3,Medium
1,76543,3146,0,0,0,0,0,57407.25,19135.75,0,3,Medium
1,123456,2579,0,0,0,0,1,92592,30864,0,5,Medium
1,987654,3263,0,0,0,0,1,740740.5,246913.5,0,2,Medium
1,34525,1757,0,0,0,0,1,25893.75,8631.25,0,1,Medium
1,546789,3211,0,0,0,0,1,410091.75,136697.25,0,2,Medium
1,34568900,431,0,0,0,0,0,25926675,8642225,0,1,Medium
1,30034000,4773,0,0,0,0,1,22525500,7508500,0,3,Medium
1,600700900,2854,0,0,0,0,0,450525675,150175225,0,5,Easy
1,546009876,4468,0,0,0,0,0,409507407,136502469,0,4,Medium
1,34568900,4206,0,0,0,0,0,25926675,8642225,0,4,Medium
1,9876543,592,0,0,0,0,1,7407407.25,2469135.75,0,5,Medium
1,56430000,3789,0,0,0,0,1,42322500,14107500,0,2,Medium
1,8760000,4914,0,0,0,0,1,6570000,2190000,0,3,Medium
1,548902390,310,0,0,0,0,0,411676792.5,137225597.5,0,1,Medium
1,789076,4926,0,0,0,0,1,591807,197269,0,1,Medium
1,98765,3342,0,0,0,0,1,74073.75,24691.25,0,5,Medium
1,56789,1646,0,0,0,0,0,42591.75,14197.25,0,4,Medium
1,4321,4920,0,0,0,0,0,3240.75,1080.25,0,3,Easy
1,876544,1418,0,0,0,0,0,657408,219136,0,1,Medium
1,76543,2844,0,0,0,0,1,57407.25,19135.75,0,6,Easy
1,123456,2690,0,0,0,0,0,92592,30864,0,4,Medium
1,987654,770,0,0,0,0,1,740740.5,246913.5,0,6,Medium
1,34525,4852,0,0,0,0,0,25893.75,8631.25,0,6,Medium
1,246890,4168,0,0,0,0,1,185167.5,61722.5,0,1,Medium
1,600,3679,0,0,0,0,1,450,150,0,2,Medium
1,4321,706,0,0,0,0,1,3240.75,1080.25,0,2,Medium
1,876544,3442,0,0,0,0,1,657408,219136,0,2,Medium
1,76543,2317,0,0,0,0,1,57407.25,19135.75,0,5,Medium
1,123456,1249,0,0,0,0,1,92592,30864,0,2,Medium
1,987654,332,0,0,0,0,1,740740.5,246913.5,0,4,Medium
1,34525,1425,0,0,0,0,0,25893.75,8631.25,0,3,Medium
1,546789,2626,0,0,0,0,1,410091.75,136697.25,0,4,Medium
1,34568900,203,0,0,0,0,0,25926675,8642225,0,3,Medium
1,30034000,2273,0,0,0,0,0,22525500,7508500,0,1,Medium
1,600700900,2366,0,0,0,0,0,450525675,150175225,0,5,Medium
1,789076,1660,0,0,0,0,0,591807,197269,0,2,Easy
1,98765,3476,0,0,0,0,0,74073.75,24691.25,0,1,Medium
1,56789,2790,0,0,0,0,0,42591.75,14197.25,0,3,Medium
1,4321,1133,0,0,0,0,0,3240.75,1080.25,0,5,Medium
1,876544,2551,0,0,0,0,0,657408,219136,0,5,Medium
1,76543,3548,0,0,0,0,0,57407.25,19135.75,0,1,Medium
1,123456,2598,0,0,0,0,0,92592,30864,0,4,Medium
1,987654,4948,0,0,0,0,1,740740.5,246913.5,0,2,Easy
1,34525,3352,0,0,0,0,0,25893.75,8631.25,0,5,Medium
1,246890,909,0,0,0,0,1,185167.5,61722.5,0,4,Easy
1,600,2960,0,0,0,0,0,450,150,0,4,Medium
1,162534,4475,0,0,0,0,0,121900.5,40633.5,0,6,Medium
1,7865432,3713,0,0,0,0,0,5899074,1966358,0,6,Medium
1,133516,1492,0,0,0,0,0,100137,33379,0,4,Medium
1,363147,2121,0,0,0,0,1,272360.25,90786.75,0,5,Medium
1,448601,3970,0,0,0,0,0,336450.75,112150.25,0,1,Medium
1,323809,712,0,0,0,0,0,242856.75,80952.25,0,3,Medium
1,475135,2981,0,0,0,0,0,356351.25,118783.75,0,4,Easy
1,374356,3891,0,0,0,0,0,280767,93589,0,4,Easy
1,736633,1157,0,0,0,0,0,552474.75,184158.25,0,6,Medium
1,441239,4633,0,0,0,0,1,330929.25,110309.75,0,1,Medium
1,122048,111,0,0,0,0,1,91536,30512,0,5,Medium
1,107663,1512,0,0,0,0,0,80747.25,26915.75,0,4,Easy
1,551993,2252,0,0,0,0,1,413994.75,137998.25,0,3,Medium
1,730862,899,0,0,0,0,1,548146.5,182715.5,0,1,Medium
1,446777,4313,0,0,0,0,0,335082.75,111694.25,0,5,Medium
1,279831,395,0,0,0,0,1,209873.25,69957.75,0,3,Medium
1,422126,1496,0,0,0,0,0,316594.5,105531.5,0,1,Easy
1,657022,1759,0,0,0,0,1,492766.5,164255.5,0,4,Medium
1,648352,3844,0,0,0,0,1,486264,162088,0,5,Medium
1,573744,1947,0,0,0,0,0,430308,143436,0,6,Medium
1,647610,3868,0,0,0,0,1,485707.5,161902.5,0,1,Medium
1,85556162,1964,0,0,0,0,0,64167121.5,21389040.5,0,5,Medium
1,28140659,3980,0,0,0,0,0,21105494.25,7035164.75,0,2,Medium
1,55309108,1865,0,0,0,0,1,41481831,13827277,0,6,Medium
1,81172616,2860,0,0,0,0,0,60879462,20293154,0,4,Medium
1,51234486,1289,0,0,0,0,1,38425864.5,12808621.5,0,2,Medium
1,76426456,4035,0,0,0,0,1,57319842,19106614,0,1,Easy
1,11890427,4314,0,0,0,0,0,8917820.25,2972606.75,0,6,Medium
1,54465511,731,0,0,0,0,0,40849133.25,13616377.75,0,6,Medium
1,83709573,3375,0,0,0,0,0,62782179.75,20927393.25,0,3,Easy
1,21804799,700,0,0,0,0,1,16353599.25,5451199.75,0,4,Medium
1,62423875,1483,0,0,0,0,0,46817906.25,15605968.75,0,1,Medium
1,75673675,479,0,0,0,0,0,56755256.25,18918418.75,0,3,Medium
1,16524276,3077,0,0,0,0,1,12393207,4131069,0,6,Easy
1,13606680,1702,0,0,0,0,0,10205010,3401670,0,4,Medium
1,28006228,1216,0,0,0,0,1,21004671,7001557,0,2,Medium
1,85768000,1951,0,0,0,0,0,64326000,21442000,0,5,Medium
1,47846891,3875,0,0,0,0,1,35885168.25,11961722.75,0,5,Medium
1,17571908,4699,0,0,0,0,0,13178931,4392977,0,1,Medium
1,21936333,2719,0,0,0,0,0,16452249.75,5484083.25,0,6,Medium
1,26105168,3233,0,0,0,0,1,19578876,6526292,0,3,Medium
1,74544018,4900,0,0,0,0,1,55908013.5,18636004.5,0,5,Medium
1,81487724,3850,0,0,0,0,0,61115793,20371931,0,3,Medium
1,43198039,4353,0,0,0,0,0,32398529.25,10799509.75,0,6,Easy
1,88632060,4173,0,0,0,0,1,66474045,22158015,0,5,Medium
1,34112184,4177,0,0,0,0,0,25584138,8528046,0,6,Medium
1,34512814,754,0,0,0,0,0,25884610.5,8628203.5,0,1,Medium
1,7636510,3544,0,0,0,0,1,5727382.5,1909127.5,0,5,Medium
1,7190566,290,0,0,0,0,0,5392924.5,1797641.5,0,3,Easy
1,86867777,3706,0,0,0,0,0,65150832.75,21716944.25,0,4,Medium
1,27633883,4231,0,0,0,0,0,20725412.25,6908470.75,0,4,Medium
1,17455068,1982,0,0,0,0,1,13091301,4363767,0,5,Medium
1,17898281,1505,0,0,0,0,0,13423710.75,4474570.25,0,6,Easy
1,60821047,2827,0,0,0,0,1,45615785.25,15205261.75,0,3,Medium
1,36259952,2042,0,0,0,0,1,27194964,9064988,0,1,Medium
1,5857530,4924,0,0,0,0,0,4393147.5,1464382.5,0,1,Easy
1,55671092,1045,0,0,0,0,1,41753319,13917773,0,1,Medium
1,84973295,699,0,0,0,0,0,63729971.25,21243323.75,0,1,Medium
1,27590127,1961,0,0,0,0,1,20692595.25,6897531.75,0,2,Medium
1,38711889,335,0,0,0,0,1,29033916.75,9677972.25,0,4,Easy
1,4509319,2838,0,0,0,0,0,3381989.25,1127329.75,0,2,Medium
1,61870419,2287,0,0,0,0,1,46402814.25,15467604.75,0,3,Medium
1,9492062,853,0,0,0,0,0,7119046.5,2373015.5,0,2,Medium
1,72191574,4119,0,0,0,0,1,54143680.5,18047893.5,0,1,Medium
1,45957375,3762,0,0,0,0,0,34468031.25,11489343.75,0,5,Medium
1,4996672,2654,0,0,0,0,0,3747504,1249168,0,4,Easy
1,15829565,2756,0,0,0,0,0,11872173.75,3957391.25,0,6,Medium
1,5416297,3338,0,0,0,0,0,4062222.75,1354074.25,0,3,Medium
1,20474655,4626,0,0,0,0,0,15355991.25,5118663.75,0,3,Medium
1,62826213,3952,0,0,0,0,0,47119659.75,15706553.25,0,6,Medium
1,73468312,2947,0,0,0,0,1,55101234,18367078,0,1,Easy
1,39509842,2255,0,0,0,0,0,29632381.5,9877460.5,0,6,Medium
1,43897806,1174,0,0,0,0,0,32923354.5,10974451.5,0,6,Medium
1,79507528,3342,0,0,0,0,1,59630646,19876882,0,4,Medium
1,25474047,592,0,0,0,0,1,19105535.25,6368511.75,0,2,Medium
1,25491598,1600,0,0,0,0,1,19118698.5,6372899.5,0,1,Medium
1,88335970,3366,0,0,0,0,1,66251977.5,22083992.5,0,2,Medium
1,79909336,307,0,0,0,0,1,59932002,19977334,0,5,Easy
1,29952018,4523,0,0,0,0,0,22464013.5,7488004.5,0,2,Medium
1,25635849,2547,0,0,0,0,0,19226886.75,6408962.25,0,1,Medium
1,14078167,379,0,0,0,0,1,10558625.25,3519541.75,0,5,Medium
1,78704144,697,0,0,0,0,1,59028108,19676036,0,3,Medium
1,14216123,3609,0,0,0,0,0,10662092.25,3554030.75,0,3,Medium
1,74127557,373,0,0,0,0,1,55595667.75,18531889.25,0,6,Medium
1,80918788,4974,0,0,0,0,1,60689091,20229697,0,3,Medium
1,62811128,3632,0,0,0,0,1,47108346,15702782,0,2,Easy
1,23596013,4659,0,0,0,0,1,17697009.75,5899003.25,0,2,Medium
1,76144925,3121,0,0,0,0,0,57108693.75,19036231.25,0,5,Medium
1,17798301,1694,0,0,0,0,0,13348725.75,4449575.25,0,4,Medium
1,88168916,3938,0,0,0,0,0,66126687,22042229,0,5,Medium
1,43348826,4454,0,0,0,0,1,32511619.5,10837206.5,0,4,Medium
1,76837162,4096,0,0,0,0,0,57627871.5,19209290.5,0,2,Medium
1,60600304,1660,0,0,0,0,0,45450228,15150076,0,2,Medium
1,60892483,3656,0,0,0,0,1,45669362.25,15223120.75,0,3,Easy
1,61379609,4966,0,0,0,0,0,46034706.75,15344902.25,0,6,Easy
1,78828923,4709,0,0,0,0,1,59121692.25,19707230.75,0,6,Easy
1,53659764,3300,0,0,0,0,0,40244823,13414941,0,4,Easy
1,40447817,1064,0,0,0,0,0,30335862.75,10111954.25,0,6,Medium
1,25788412,4725,0,0,0,0,1,19341309,6447103,0,3,Medium
1,35388524,4394,0,0,0,0,0,26541393,8847131,0,3,Medium
1,11971142,964,0,0,0,0,1,8978356.5,2992785.5,0,6,Medium
1,21748766,3457,0,0,0,0,0,16311574.5,5437191.5,0,2,Medium
1,56886952,1800,0,0,0,0,1,42665214,14221738,0,2,Easy
1,81537950,3363,0,0,0,0,0,61153462.5,20384487.5,0,3,Medium
1,6185907,1150,0,0,0,0,1,4639430.25,1546476.75,0,6,Medium
1,33493753,1947,0,0,0,0,0,25120314.75,8373438.25,0,2,Medium
1,46859556,3482,0,0,0,0,0,35144667,11714889,0,2,Medium
1,66581812,2410,0,0,0,0,1,49936359,16645453,0,3,Medium
1,67226750,126,0,0,0,0,1,50420062.5,16806687.5,0,3,Medium
1,16069832,960,0,0,0,0,1,12052374,4017458,0,3,Easy
1,28572679,280,0,0,0,0,0,21429509.25,7143169.75,0,3,Medium
1,72769496,256,0,0,0,0,0,54577122,18192374,0,1,Medium
1,88572372,2389,0,0,0,0,0,66429279,22143093,0,1,Medium
1,15286194,197,0,0,0,0,0,11464645.5,3821548.5,0,3,Medium
1,87686581,3927,0,0,0,0,1,65764935.75,21921645.25,0,4,Easy
1,12737919,3344,0,0,0,0,1,9553439.25,3184479.75,0,1,Medium
1,18885830,3047,0,0,0,0,0,14164372.5,4721457.5,0,4,Medium
1,80997603,3791,0,0,0,0,1,60748202.25,20249400.75,0,2,Medium
1,63382263,1651,0,0,0,0,1,47536697.25,15845565.75,0,4,Easy
1,56620525,2571,0,0,0,0,1,42465393.75,14155131.25,0,5,Medium
1,40145436,1246,0,0,0,0,0,30109077,10036359,0,4,Medium
1,18594641,4641,0,0,0,0,1,13945980.75,4648660.25,0,1,Medium
1,1396360,3823,0,0,0,0,1,1047270,349090,0,1,Medium
1,54154448,2600,0,0,0,0,0,40615836,13538612,0,3,Medium
1,55686512,3421,0,0,0,0,1,41764884,13921628,0,3,Medium
1,18751499,3305,0,0,0,0,1,14063624.25,4687874.75,0,1,Medium
1,56695418,2195,0,0,0,0,0,42521563.5,14173854.5,0,5,Medium
1,74423795,1797,0,0,0,0,0,55817846.25,18605948.75,0,2,Medium
1,21634756,327,0,0,0,0,1,16226067,5408689,0,2,Medium
1,71640676,2035,0,0,0,0,1,53730507,17910169,0,5,Medium
1,57730599,4132,0,0,0,0,0,43297949.25,14432649.75,0,2,Medium
1,16351332,1441,0,0,0,0,0,12263499,4087833,0,6,Medium
1,84415184,3044,0,0,0,0,0,63311388,21103796,0,3,Medium
1,5282611,3996,0,0,0,0,1,3961958.25,1320652.75,0,5,Medium
